"benchmark","benchmark id","expected","asterix","sleek","slsat","spen"
"sll0a_sat/spaguetti-19-e06.tptp.smt2","945830","sat","0.010997","0.047992","0.207967","0.047992"
"sll0a_sat/spaguetti-20-e03.tptp.smt2","945850","sat","0.010997","0.050991","10.4484","0.091985"
"sll0a_sat/spaguetti-14-e06.tptp.smt2","945892","unsat","0.009997","0.045992","0.276957","0.013997"
"sll0a_sat/spaguetti-14-e05.tptp.smt2","945894","unsat","0.009997","0.048991","2.97255","0.021996"
"sll0a_sat/spaguetti-19-e01.tptp.smt2","945889","unsat","0.010997","0.046992","1.92071","0.029995"
"sll0a_sat/spaguetti-20-e04.tptp.smt2","945805","sat","0.009997","0.048991","8.14876","0.080987"
"sll0a_sat/spaguetti-10-e08.tptp.smt2","945883","unsat","0.010997","0.047991","0.113981","0.007998"
"sll0a_sat/spaguetti-10-e02.tptp.smt2","945818","sat","0.009998","0.048992","0.016997","0.010998"
"sll0a_sat/spaguetti-13-e05.tptp.smt2","945817","unsat","0.009997","0.049991","12.7661","0.021996"
"sll0a_sat/spaguetti-15-e02.tptp.smt2","945867","unsat","0.009997","0.044992","14.1928","0.028995"
"sll0a_sat/spaguetti-16-e01.tptp.smt2","945829","unsat","0.010997","0.047991","0.39294","0.017997"
"sll0a_sat/spaguetti-18-e07.tptp.smt2","945845","sat","0.010997","0.048991","2.36364","0.056991"
"sll0a_sat/spaguetti-14-e02.tptp.smt2","945823","unsat","0.009997","0.048991","0.58591","0.018996"
"sll0a_sat/spaguetti-18-e06.tptp.smt2","945875","sat","0.009997","0.049992","0.046992","0.026995"
"sll0a_sat/spaguetti-12-e02.tptp.smt2","945846","unsat","0.010997","0.054991","27.1399","0.021996"
"sll0a_sat/spaguetti-18-e09.tptp.smt2","945891","unsat","0.009997","0.050991","10.2234","0.037993"
"sll0a_sat/spaguetti-19-e09.tptp.smt2","945895","unsat","0.010997","0.053991","242.262","0.054991"
"sll0a_sat/spaguetti-17-e02.tptp.smt2","945838","sat","0.011997","0.05299","41.3447","0.06299"
"sll0a_sat/spaguetti-17-e09.tptp.smt2","945819","sat","0.010997","0.046991","17.6393","0.048991"
"sll0a_sat/spaguetti-16-e09.tptp.smt2","945831","sat","0.009997","0.046991","0.038993","0.021995"
"sll0a_sat/spaguetti-14-e01.tptp.smt2","945905","sat","0.009998","0.044992","0.572912","0.031994"
"sll0a_sat/spaguetti-11-e04.tptp.smt2","945857","unsat","0.009997","0.049992","6.13107","0.018996"
"sll0a_sat/spaguetti-18-e10.tptp.smt2","945890","unsat","0.009997","0.051991","0.988849","0.026995"
"sll0a_sat/spaguetti-10-e06.tptp.smt2","945854","sat","0.008998","0.045992","0.004998","0.010998"
"sll0a_sat/spaguetti-15-e07.tptp.smt2","945898","sat","0.010997","0.048991","0.287955","0.026995"
"sll0a_sat/spaguetti-15-e04.tptp.smt2","945814","sat","0.009997","0.044993","0.031994","0.017996"
"sll0a_sat/spaguetti-15-e05.tptp.smt2","945842","unsat","0.009997","0.050991","3.2545","0.020996"
"sll0a_sat/spaguetti-10-e05.tptp.smt2","945801","sat","0.010997","0.045992","0.029994","0.013997"
"sll0a_sat/spaguetti-12-e01.tptp.smt2","945878","unsat","0.009997","0.045992","0.226964","0.011997"
"sll0a_sat/spaguetti-20-e01.tptp.smt2","945808","unsat","0.009997","0.047992","4.16137","0.036994"
"sll0a_sat/spaguetti-11-e02.tptp.smt2","945806","sat","0.009998","0.046992","0.007998","0.010997"
"sll0a_sat/spaguetti-17-e01.tptp.smt2","945820","sat","0.010997","0.047992","1.69174","0.054991"
"sll0a_sat/spaguetti-13-e09.tptp.smt2","945836","unsat","0.010997","0.048992","29.5505","0.020995"
"sll0a_sat/spaguetti-17-e10.tptp.smt2","945863","sat","0.010997","0.047992","3.47947","0.048991"
"sll0a_sat/spaguetti-18-e02.tptp.smt2","945865","unsat","0.012997","0.059989","103.411","0.045992"
"sll0a_sat/spaguetti-14-e04.tptp.smt2","945858","sat","0.009997","0.045992","1.34779","0.036994"
"sll0a_sat/spaguetti-11-e03.tptp.smt2","945900","sat","0.011997","0.047991","0.010997","0.011997"
"sll0a_sat/spaguetti-10-e09.tptp.smt2","945822","unsat","0.010997","0.045992","0.016997","0.005998"
"sll0a_sat/spaguetti-18-e04.tptp.smt2","945884","sat","0.010997","0.046992","4.55531","0.062989"
"sll0a_sat/spaguetti-20-e02.tptp.smt2","945866","sat","0.010997","0.050991","2.00969","0.066989"
