pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,result,expected
21853236,sll0a_sat/spaguetti-16-e09.tptp.smt2,945831,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.015795,sat,sat
21853237,sll0a_sat/spaguetti-19-e04.tptp.smt2,945832,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0191151,unsat,unsat
21853238,sll0a_sat/spaguetti-16-e06.tptp.smt2,945833,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.011381,sat,sat
21853239,sll0a_sat/spaguetti-11-e01.tptp.smt2,945834,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.0118381,unsat,unsat
21853240,sll0a_sat/spaguetti-20-e06.tptp.smt2,945835,Asterix-cpp,986,default.sh,1233,complete,0.011997,0.013257,unsat,unsat
21853241,sll0a_sat/spaguetti-13-e09.tptp.smt2,945836,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.012878,unsat,unsat
21853242,sll0a_sat/spaguetti-16-e10.tptp.smt2,945837,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.011454,sat,sat
21853243,sll0a_sat/spaguetti-17-e02.tptp.smt2,945838,Asterix-cpp,986,default.sh,1233,complete,0.011997,0.0137519,sat,sat
21853244,sll0a_sat/spaguetti-17-e06.tptp.smt2,945839,Asterix-cpp,986,default.sh,1233,complete,0.011998,0.013493,unsat,unsat
21853245,sll0a_sat/spaguetti-14-e10.tptp.smt2,945840,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.013246,unsat,unsat
21853246,sll0a_sat/spaguetti-16-e05.tptp.smt2,945841,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.0194781,unsat,unsat
21853247,sll0a_sat/spaguetti-15-e05.tptp.smt2,945842,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0116139,unsat,unsat
21853248,sll0a_sat/spaguetti-18-e01.tptp.smt2,945843,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0194809,sat,sat
21853249,sll0a_sat/spaguetti-16-e03.tptp.smt2,945844,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.0188031,sat,sat
21853250,sll0a_sat/spaguetti-18-e07.tptp.smt2,945845,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.0206231,sat,sat
21853251,sll0a_sat/spaguetti-12-e02.tptp.smt2,945846,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.020136,unsat,unsat
21853252,sll0a_sat/spaguetti-14-e07.tptp.smt2,945847,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.0118421,sat,sat
21853253,sll0a_sat/spaguetti-18-e03.tptp.smt2,945848,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.011723,sat,sat
21853254,sll0a_sat/spaguetti-11-e07.tptp.smt2,945849,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.0193081,unsat,unsat
21853255,sll0a_sat/spaguetti-20-e03.tptp.smt2,945850,Asterix-cpp,986,default.sh,1233,complete,0.010997,0.0129701,sat,sat
21853256,sll0a_sat/spaguetti-11-e09.tptp.smt2,945851,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0112071,unsat,unsat
21853257,sll0a_sat/spaguetti-19-e07.tptp.smt2,945852,Asterix-cpp,986,default.sh,1233,complete,0.010998,0.020261,unsat,unsat
21853258,sll0a_sat/spaguetti-12-e07.tptp.smt2,945853,Asterix-cpp,986,default.sh,1233,complete,0.009997,0.0194639,unsat,unsat
21853259,sll0a_sat/spaguetti-10-e06.tptp.smt2,945854,Asterix-cpp,986,default.sh,1233,complete,0.008998,0.0184621,sat,sat
21853260,sll0a_sat/spaguetti-11-e08.tptp.smt2,945855,Asterix-cpp,986,default.sh,1233,complete,0.009998,0.019315,sat,sat
